,Unnamed: 0,Volume,Last,Chg,% Chg
0,Webull Corp. Cl A (BULL),36.9M,62.9,49.65,374.72
1,USA Rare Earth Inc. (USAR),11.5M,11.75,3.44,41.4
2,MasterBeef Group (MB),3.8M,4.52,1.32,41.25
3,Third Harmonic Bio Inc. (THRD),14.8M,5.09,1.45,39.84
4,Wellgistics Health Inc. (WGRX),448.3K,3.83,0.94,32.53
5,Metsera Inc. (MTSR),2.0M,18.18,4.18,29.86
6,Janover Inc. (JNVR),910.6K,65.94,14.73,28.76
7,FatPipe Inc. (FATN),6.0M,8.11,1.75,27.52
8,Verve Therapeutics Inc. (VERV),31.9M,4.12,0.86,26.38
9,Zhengye Biotechnology Holding Ltd. (ZYBT),473.8K,5.12,1.06,26.11
10,authID Inc. (AUID),268.5K,7.05,1.37,24.12
11,American Rebel Holdings Inc. (AREB),10.9M,7.6,1.39,22.38
12,Sonder Holdings Inc. (SOND),126.4K,2.75,0.5,22.22
13,Capstone Holding Corp. (CAPS),101.6K,2.9,0.52,21.85
14,Cartesian Therapeutics Inc. (RNAC),115.3K,13.0,2.33,21.84
15,MP Materials Corp. (MP),23.7M,27.59,4.91,21.65
16,iOThree Ltd. (IOTR),368.2K,4.11,0.72,21.24
17,Antelope Enterprise Holdings Ltd. (AEHL),393.9K,3.42,0.59,20.85
18,Better Home & Finance Holding Co. (BETR),244.0K,12.4,2.12,20.62
19,Fold Holdings Inc. (FLD),893.3K,3.24,0.55,20.45
20,Aclarion Inc. (ACON),143.4K,10.0,1.67,20.05
21,YSX Tech. Co. Ltd. (YSXT),59.2K,4.04,0.66,19.47
22,Satellogic Inc. (SATL),2.0M,4.47,0.72,19.2
23,Structure Therapeutics Inc. ADR (GPCR),1.3M,18.95,3.05,19.18
24,P3 Health Partners Inc. (PIII),81.1K,8.99,1.41,18.6
25,NioCorp Developments Ltd. (NB),3.3M,2.44,0.38,18.45
26,Critical Metals Corp. (CRML),11.6M,2.55,0.39,18.06
27,Grupo Supervielle S.A. ADR (SUPV),3.1M,15.42,2.33,17.8
28,Nuvectis Pharma Inc. (NVCT),121.2K,9.78,1.47,17.69
29,Forward Industries Inc. (FORD),52.4K,5.69,0.85,17.56
30,Perpetua Resources Corp. (PPTA),2.2M,13.74,1.91,16.15
31,Waton Financial Ltd. (WTF),1.4M,7.34,1.02,16.14
32,Reitar Logtech Holdings Ltd. (RITR),107.4K,3.7,0.5,15.62
33,Banco Macro S.A. ADR (BMA),1.4M,91.0,12.15,15.41
34,BK Technologies Corp. (BKTI),80.6K,45.73,6.08,15.33
35,LENZ Therapeutics Inc. (LENZ),321.9K,23.24,2.98,14.71
36,NanoVibronix Inc. (NAOV),882.6K,7.75,0.98,14.48
37,Banco BBVA Argentina S.A. ADR (BBAR),1.5M,20.36,2.57,14.45
38,Grupo Financiero Galicia S.A. ADR (GGAL),4.3M,61.43,7.56,14.03
39,CervoMed Inc. (CRVO),1.1M,9.68,1.19,13.95
40,Byrna Technologies Inc. (BYRN),1.4M,20.43,2.5,13.94
41,Newsmax Inc. Cl B (NMAX),5.7M,26.0,3.15,13.79
42,Nova Minerals Ltd. ADR (NVA),154.3K,12.49,1.49,13.55
43,Niu Technologies ADR (NIU),2.1M,3.13,0.37,13.41
44,Cara Therapeutics Inc. (CARA),92.6K,5.55,0.65,13.26
45,Cybin Inc. (CYBN),657.3K,7.7,0.9,13.24
46,Sionna Therapeutics Inc. (SION),132.8K,8.91,1.04,13.21
47,MSP Recovery Inc. (MSPR),1.9M,2.83,0.33,13.2
48,Loma Negra Compania Industrial Argentina S.A. ADR (LOMA),1.1M,11.33,1.32,13.19
49,Micropolis Holding Co. (MCRP),72.3K,2.95,0.34,13.03
50,Aligos Therapeutics Inc. (ALGS),126.0K,4.61,0.53,12.99
51,Jiayin Group Inc. ADR (JFIN),170.6K,11.4,1.31,12.98
52,Cardiff Oncology Inc. (CRDF),2.1M,2.79,0.32,12.96
53,United States Antimony Corp. (UAMY),7.3M,3.14,0.35,12.54
54,Design Therapeutics Inc. (DSGN),300.3K,3.25,0.36,12.46
55,Summit Therapeutics Inc. (SMMT),8.2M,26.13,2.89,12.44
56,Palvella Therapeutics Inc. (PVLA),106.1K,24.44,2.68,12.32
57,Rocket Pharmaceuticals Inc. (RCKT),3.7M,5.91,0.64,12.14
58,Valneva SE ADR (VALN),58.2K,7.05,0.76,12.08
59,Blaize Holdings Inc. (BZAI),339.6K,2.91,0.31,11.92
60,Tempest Therapeutics Inc. (TPST),56.8K,6.96,0.74,11.9
61,Instil Bio Inc. (TIL),158.3K,16.8,1.77,11.78
62,Certara Inc. (CERT),6.1M,14.4,1.49,11.54
63,Nano Labs Ltd. Cl A (NA),56.4K,4.12,0.42,11.49
64,Draganfly Inc. (DPRO),69.4K,2.43,0.25,11.47
65,scPharmaceuticals Inc. (SCPH),521.0K,2.58,0.26,11.21
66,Proficient Auto Logistics Inc. (PAL),876.9K,8.45,0.85,11.18
67,Empresa Distribuidora y Comercializadora Norte S.A. Cl B ADR (EDN),422.2K,31.82,3.08,10.72
68,Eason Technology Ltd. ADR (DXF),212.7K,6.42,0.62,10.69
