,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,WRD,WeRide Inc.,,9.80 +0.96 (+10.86%),0.96,+10.86%,2.39M,1.945M,2.699B,-,-46.59%,
1,IMPUY,Impala Platinum Holdings Limited,,5.16 +0.49 (+10.49%),0.49,+10.49%,163732,211921,4.971B,-,-6.97%,
2,SMPL,The Simply Good Foods Company,,36.44 +3.26 (+9.81%),3.26,+9.81%,1.093M,974122,3.682B,25.85,2.44%,
3,HMY,Harmony Gold Mining Company Limited,,14.15 +1.18 (+9.10%),1.18,+9.10%,5.598M,7.413M,9.073B,16.45,46.39%,
4,XIACY,Xiaomi Corporation,,26.30 +2.20 (+9.13%),2.2,+9.13%,115137,947167,141.613B,41.09,116.53%,
5,DJTWW,Trump Media & Technology Group Corp.,,11.84 +0.94 (+8.62%),0.94,+8.62%,51224,82046,3.781B,-,36.94%,
6,IAG,IAMGOLD Corporation,,6.30 +0.49 (+8.35%),0.49,+8.35%,15.842M,12.618M,3.618B,4.20,60.50%,
7,TKAMY,thyssenkrupp AG,,9.51 +0.72 (+8.03%),0.72,+8.03%,21368,159991,6.313B,-,55.40%,
8,CDE,"Coeur Mining, Inc.",,5.17 +0.36 (+7.48%),0.36,+7.48%,9.237M,19.753M,3.304B,34.47,1.91%,
9,ONTO,Onto Innovation Inc.,,113.35 +7.75 (+7.34%),7.75,+7.34%,922122,1.052M,5.585B,27.92,-42.71%,
10,ANGPY,Anglo American Platinum Limited,,5.38 +0.37 (+7.40%),0.37,+7.40%,94421,125519,8.757B,23.39,-29.33%,
11,DJT,Trump Media & Technology Group Corp.,,17.83 +1.17 (+7.02%),1.17,+7.02%,6.291M,7.293M,3.934B,-,-51.37%,
12,EGO,Eldorado Gold Corporation,,16.66 +1.03 (+6.59%),1.03,+6.59%,1.39M,2.046M,3.425B,11.41,2.16%,
13,AU,AngloGold Ashanti plc,,35.36 +2.20 (+6.63%),2.2,+6.63%,3.67M,2.651M,17.805B,15.18,43.92%,
14,OLN,Olin Corporation,,19.09 +1.13 (+6.29%),1.13,+6.29%,1.322M,1.943M,2.197B,20.98,-68.17%,
15,MPNGY,Meituan,,36.20 +2.20 (+6.47%),2.2,+6.47%,54624,513595,117.722B,23.35,30.82%,
16,TFPM,Triple Flag Precious Metals Corp.,,19.53 +1.18 (+6.46%),1.18,+6.46%,251076,276900,3.932B,-,16.07%,
17,KGC,Kinross Gold Corporation,,12.64 +0.68 (+5.64%),0.68,+5.64%,9.915M,21.9M,15.547B,16.41,87.46%,
18,DAL,"Delta Air Lines, Inc.",,38.03 +2.15 (+6.01%),2.15,+6.01%,14.073M,11.182M,24.569B,7.14,-22.40%,
19,AVAV,"AeroVironment, Inc.",,127.68 +6.65 (+5.49%),6.65,+5.49%,244622,471227,3.603B,110.07,-17.91%,
20,GFI,Gold Fields Limited,,21.20 +1.16 (+5.81%),1.16,+5.81%,3.314M,3.607M,19.41B,15.37,15.97%,
21,AGI,Alamos Gold Inc.,,25.91 +1.41 (+5.73%),1.41,+5.73%,2.396M,3.133M,10.909B,37.54,61.61%,
22,INTC,Intel Corporation,,19.15 +1.02 (+5.64%),1.02,+5.64%,65.1M,107.315M,83.513B,-,-51.26%,
23,ORLA,Orla Mining Ltd.,,8.70 +0.41 (+4.95%),0.41,+4.95%,627602,1.103M,2.813B,32.22,102.20%,
24,GT,The Goodyear Tire & Rubber Company,,8.91 +0.43 (+5.07%),0.43,+5.07%,3.293M,6.127M,2.54B,37.12,-33.07%,
25,ARM,Arm Holdings plc,,89.98 +4.16 (+4.84%),4.16,+4.84%,3.638M,6.018M,94.839B,118.39,-31.44%,
26,BVN,Compañía de Minas Buenaventura S.A.A.,,13.60 +0.66 (+5.05%),0.66,+5.05%,735242,1.083M,3.712B,9.38,-19.73%,
27,PAAS,Pan American Silver Corp.,,22.80 +1.08 (+4.97%),1.08,+4.97%,2.835M,3.435M,8.263B,73.55,14.14%,
28,CAMT,Camtek Ltd.,,54.88 +2.56 (+4.89%),2.56,+4.89%,252351,574275,2.502B,22.68,-34.71%,
29,LYFT,"Lyft, Inc.",,10.43 +0.45 (+4.56%),0.45,+4.56%,7.983M,19.698M,4.358B,173.75,-45.82%,
30,CAR,"Avis Budget Group, Inc.",,65.53 +2.67 (+4.25%),2.67,+4.25%,411813,1.2M,2.306B,-,-47.59%,
31,TSLA,"Tesla, Inc.",,232.26 +10.40 (+4.69%),10.4,+4.69%,77.744M,104.958M,747.069B,113.85,29.17%,
32,WK,Workiva Inc.,,64.65 +2.74 (+4.43%),2.74,+4.43%,468232,775200,3.629B,-,-22.02%,
