,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,PONY,Pony AI Inc.,,23.61 +5.73 (+32.05%),5.73,+32.05%,6.103M,1.288M,8.239B,-,96.75%,
1,CELH,"Celsius Holdings, Inc.",,32.62 +7.09 (+27.77%),7.09,+27.77%,61.72M,9.391M,7.666B,72.49,-50.24%,
2,VICR,Vicor Corporation,,63.67 +11.81 (+22.77%),11.81,+22.77%,1.277M,239154,2.874B,454.79,66.24%,
3,TME,Tencent Music Entertainment Group,,14.38 +1.55 (+12.08%),1.55,+12.08%,23.381M,7.168M,22.618B,27.65,38.00%,
4,TLX,Telix Pharmaceuticals Limited,,19.50 +2.09 (+12.00%),2.09,+12.00%,39652,15322,6.527B,162.50,28.71%,
5,ZLAB,Zai Lab Limited,,33.78 +2.79 (+9.00%),2.79,+9.00%,2.034M,689579,3.74B,-,60.93%,
6,VKTX,"Viking Therapeutics, Inc.",,34.07 +2.44 (+7.71%),2.44,+7.71%,15.664M,4.057M,3.801B,-,-11.46%,
7,MELI,"MercadoLibre, Inc.",,"2,260.00 +149.53 (+7.09%)",149.53,+7.09%,1.256M,386905,114.576B,59.88,40.36%,
8,OLED,Universal Display Corporation,,157.30 +9.96 (+6.76%),9.96,+6.76%,1.94M,698783,7.467B,33.76,-9.14%,
9,AXSM,"Axsome Therapeutics, Inc.",,137.75 +8.65 (+6.70%),8.65,+6.70%,1.471M,912028,6.717B,-,67.38%,
10,AGM,Federal Agricultural Mortgage Corporation,,208.09 +12.42 (+6.35%),12.42,+6.35%,73753,35777,2.179B,12.66,17.33%,
11,HSAI,Hesai Group,,19.63 +1.12 (+6.05%),1.12,+6.05%,6.88M,4.124M,2.502B,-,442.27%,
12,IRTC,"iRhythm Technologies, Inc.",,119.44 +6.77 (+6.01%),6.77,+6.01%,1.764M,388981,3.752B,-,12.56%,
13,VRNA,Verona Pharma plc,,67.96 +3.77 (+5.87%),3.77,+5.87%,2.076M,1.242M,5.561B,-,285.48%,
14,BABA,Alibaba Group Holding Limited,,143.75 +7.78 (+5.72%),7.78,+5.72%,72.105M,23.047M,341.543B,20.92,87.88%,
15,PDD,PDD Holdings Inc.,,131.34 +6.93 (+5.57%),6.93,+5.57%,16.449M,9.193M,182.401B,13.02,3.84%,
16,NSANY,"Nissan Motor Co., Ltd.",,5.87 +0.30 (+5.39%),0.3,+5.39%,189490,606150,10.721B,15.45,-23.47%,
17,ELF,"e.l.f. Beauty, Inc.",,74.92 +3.81 (+5.36%),3.81,+5.36%,2.748M,2.51M,4.225B,44.86,-62.47%,
18,MRNA,"Moderna, Inc.",,35.53 +1.80 (+5.34%),1.8,+5.34%,21.035M,10.92M,13.708B,-,-62.21%,
19,NVO,Novo Nordisk A/S,,88.08 +4.34 (+5.18%),4.34,+5.18%,15.045M,8.526M,369.141B,27.87,-28.67%,
20,YOU,"Clear Secure, Inc.",,23.55 +1.16 (+5.18%),1.16,+5.18%,3.721M,1.772M,3.283B,27.38,30.40%,
21,HCM,HUTCHMED (China) Limited,,16.11 +0.78 (+5.09%),0.78,+5.09%,137785,78255,2.754B,-,3.01%,
22,EXEL,"Exelixis, Inc.",,36.85 +1.76 (+5.02%),1.76,+5.02%,3.409M,2.344M,10.314B,20.94,67.81%,
23,ALVO,Alvotech,,12.28 +0.58 (+4.96%),0.58,+4.96%,188797,159747,3.708B,-,-28.89%,
24,WXXWY,WuXi Biologics (Cayman) Inc.,,6.66 +0.31 (+4.88%),0.31,+4.88%,18742,51737,13.697B,41.62,39.62%,
25,MP,MP Materials Corp.,,24.30 +1.12 (+4.83%),1.12,+4.83%,4.658M,3.257M,3.966B,-,65.19%,
26,DIDIY,DiDi Global Inc.,,5.02 +0.23 (+4.80%),0.23,+4.80%,3.788M,6.771M,24.308B,26.42,28.39%,
27,APLD,Applied Digital Corporation,,10.65 +0.47 (+4.62%),0.47,+4.62%,63.913M,22.247M,2.374B,-,147.67%,
28,PRMB,Primo Brands Corporation,,34.07 +1.48 (+4.54%),1.48,+4.54%,3.781M,2.275M,12.948B,89.66,113.47%,
29,CWAN,"Clearwater Analytics Holdings, Inc.",,31.26 +1.32 (+4.41%),1.32,+4.41%,4.88M,2.569M,7.771B,18.61,57.09%,
30,AGIO,"Agios Pharmaceuticals, Inc.",,35.22 +1.47 (+4.36%),1.47,+4.36%,965803,877598,2.018B,3.03,7.15%,
31,JJSF,J&J Snack Foods Corp.,,129.29 +5.33 (+4.30%),5.33,+4.30%,138581,116584,2.52B,29.79,-10.03%,
32,KVUE,Kenvue Inc.,,23.32 +0.93 (+4.15%),0.93,+4.15%,25.659M,13.271M,44.711B,43.19,23.13%,
33,LI,Li Auto Inc.,,27.46 +1.09 (+4.13%),1.09,+4.13%,12.6M,5.012M,29.852B,20.80,-33.58%,
34,RKT,"Rocket Companies, Inc.",,13.25 +0.52 (+4.08%),0.52,+4.08%,5.321M,3.142M,26.332B,-,15.52%,
35,FNMAH,Federal National Mortgage Association,,9.69 +0.38 (+4.08%),0.38,+4.08%,48785,110274,13.791B,1384.29,227.36%,
36,HSY,The Hershey Company,,172.86 +6.76 (+4.07%),6.76,+4.07%,4.115M,2.369M,34.989B,15.83,-8.35%,
37,KOF,"Coca-Cola FEMSA, S.A.B. de C.V.",,88.39 +3.45 (+4.06%),3.45,+4.06%,325674,169423,18.569B,15.90,-10.41%,
38,MDLZ,"Mondelez International, Inc.",,64.67 +2.50 (+4.02%),2.5,+4.02%,15.986M,10.721M,83.653B,18.91,-11.76%,
39,IMVT,"Immunovant, Inc.",,21.27 +0.82 (+4.01%),0.82,+4.01%,926054,1.145M,3.613B,-,-44.25%,
40,XPEV,XPeng Inc.,,18.40 +0.70 (+3.95%),0.7,+3.95%,13.828M,10.193M,17.532B,-,99.57%,
